,summary,Impacts,Hazard,Mitigation,Adaptation,Causes,word
führt,37.25940658737794,-0.28002436473352127,-0.2628428257274013,-0.026665314009658138,0.03128421061824624,0.276907026856198,führt
erwärmung führ+t,3.5371819150493566,-0.5604191243925716,-0.2995665769893604,-0.16769500463056483,0.20007464371762393,0.31399296559246864,erwärmung führ+t
Deutschland,94.95853396813935,-0.047255028521421445,-0.07411318018550017,-0.3066488530297089,-0.01050946665461248,0.16021618616225913,Deutschland
führ+t deutschland,3.5573159404982624,-0.5660950946763179,-0.30524254727310673,-0.17337097491431105,0.2770884572071287,0.24924717853151798,führ+t deutschland
mehr,242.76209766304044,-0.012904905115769942,-0.15309620522781137,-0.1609730684188217,0.13442917728811132,-0.007561609289613169,mehr
deutschland mehr,3.577244599613799,-0.5716816226294876,-0.3108290752262765,-0.17895750286748086,0.315515160398049,0.21565858373560637,deutschland mehr
Extremwetter,3.169586768670951,-0.45069000597918757,-0.18983745857597645,-0.0579658862171808,0.1556719348998409,0.2496265603433652,Extremwetter
mehr extrem+wetter,3.169586768670951,-0.45069000597918757,-0.18983745857597645,-0.0579658862171808,0.1556719348998409,0.2496265603433652,mehr extrem+wetter
Auch,126.82887452315629,-0.006503496274577251,-0.08674425280255912,-0.17346653860652758,0.03900219057781096,0.058490538736682335,Auch
extrem+wetter auch,3.602171005240961,-0.5786255041809668,-0.31777295677775563,-0.1859013844189601,0.3035478195349587,0.23435044991611054,extrem+wetter auch
auch deutschland,4.878076514878694,-0.8818397688510294,-0.6209872214478184,-0.48911564908902266,0.4523761431334471,0.30648493208030003,auch deutschland
Klimawandel,64.52623498159384,-0.5834246749451756,-0.5908944073301361,-0.536163362920537,0.45853909610957966,0.19491495711717358,Klimawandel
deutschland klima+wandel,7.695356899633746,-1.3377059304077563,-1.0768533830045453,-0.9449818106457497,0.5631688596196318,0.40189489872834416,deutschland klima+wandel
vergangenen,132.00767506820722,-0.09498560804285676,-0.31411055224105405,-0.25403992487777555,0.23754856903915342,0.033413069066399355,vergangenen
klima+wandel vergeh+en+en,5.427346231904588,-0.988539074548813,-0.7276865271456018,-0.5958149547868062,0.5389751971058079,0.26998928244434034,klima+wandel vergeh+en+en
Jahrzehnten,10.79056446240711,-0.13420837063282848,-0.6589847183422356,-0.8205954614911,0.09683763046940605,0.3616218514120035,Jahrzehnten
vergeh+en+en jahrzehnt+en,4.892623909609243,-0.8848175298810317,-0.6239649824778205,-0.49209341011902497,0.4977171696571155,0.25637334337306106,vergeh+en+en jahrzehnt+en
Experten,144.3614841468821,-0.05587566123236143,-0.15469641159749584,-0.09095792500440222,0.18868420956692553,-0.04942034770782795,Experten
jahrzehnt+en experte+n,4.481268020916893,-0.7969948302350871,-0.536142282831876,-0.4042707104730803,0.4377328550591529,0.26638358864037986,jahrzehnt+en experte+n
zufolge,67.00968922303683,-0.018766539920923628,-0.048172752522357046,-0.1344313809075853,0.060498344641244484,0.021884900725671265,zufolge
experte+n zufolge,4.289033577961421,-0.7531502178329712,-0.49229767042976014,-0.36042609807096454,0.40986634548463335,0.26555237376630286,experte+n zufolge
beschleunigt,4.158392305052604,-0.7222173179180224,-0.46136477051481123,-0.3294931981560157,0.3906181951105476,0.2631592436402934,beschleunigt
zufolge beschleunig+t,4.158392305052604,-0.7222173179180224,-0.46136477051481123,-0.3294931981560157,0.3906181951105476,0.2631592436402934,zufolge beschleunig+t
Das,412.2241457508615,0.006260042541621618,-0.08672999689678591,-0.15703136311417348,0.06865024573930331,0.013982421585633653,Das
führe,8.045726720438909,-0.25150822975246273,-0.17035797573719352,-0.05954162822524758,0.2831874628993841,-0.00625714051856924,führe
der führ+e,3.9430633121730168,-0.6690466950933265,-0.40819414769011536,-0.27632257533131965,0.3578640090411187,0.2560249784394414,der führ+e
führ+e mehr,3.8611766680219577,-0.6480607567720517,-0.38720820936884065,-0.2553366370100451,0.34495187086292406,0.2522401219034102,führ+e mehr
Extremwetterereignissen,3.0577651852535297,-0.4147731009990715,-0.15392055359586032,-0.022048981237064686,0.21149590755804348,0.1591077752014879,Extremwetterereignissen
mehr extrem+wetter+ereignis+sen,3.0577651852535297,-0.4147731009990715,-0.15392055359586032,-0.022048981237064686,0.21149590755804348,0.1591077752014879,mehr extrem+wetter+ereignis+sen
Hitzewellen,3.8817391312294016,-0.653372066381889,-0.3925195189786779,-0.26064794661988216,0.3030884471848546,0.2980957188148119,Hitzewellen
extrem+wetter+ereignis+sen hitze+welle+n,2.9637829059829928,-0.3835552446292468,-0.12270269722603558,0.00916887513276023,0.18670893263417787,0.1468715109456967,extrem+wetter+ereignis+sen hitze+welle+n
Sturmfluten,3.8593511717608866,-0.6475878626039397,-0.3867353152007284,-0.2548637428419328,0.3036433584253452,0.29297205390220543,Sturmfluten
hitze+welle+n sturm+flut+en,3.8593511717608866,-0.6475878626039397,-0.3867353152007284,-0.2548637428419328,0.3036433584253452,0.29297205390220543,hitze+welle+n sturm+flut+en
Kopiere,374.11211329437407,0.02238199200010811,-0.11789677696988692,-0.1837055576345286,0.040331016983575295,0.04663022699067029,Kopiere
aktuellen,392.3283983260143,0.023784265405541464,-0.11341416230754599,-0.16034939724528097,0.04359777282467284,0.03423746503360917,aktuellen
kopier+e aktuell+en,369.3758820867985,0.021872045532290676,-0.11852388818455863,-0.17816539122204259,0.04579140803444342,0.04075126175992524,kopier+e aktuell+en
Link,377.1552976259418,0.021455845615401044,-0.11815874922914783,-0.17597861094596126,0.04969955899401232,0.03668426024474891,Link
aktuell+en link,377.1552976259418,0.021455845615401044,-0.11815874922914783,-0.17597861094596126,0.04969955899401232,0.03668426024474891,aktuell+en link
Zur,386.77459581523385,0.02117000473436582,-0.1174983788415797,-0.1756336751773973,0.05120676470297746,0.03514238812861099,Zur
link zu,386.77459581523385,0.02117000473436582,-0.1174983788415797,-0.1756336751773973,0.05120676470297746,0.03514238812861099,link zu
Merkliste,395.99317461792253,0.021057543978721206,-0.11680896602842823,-0.17559913247220535,0.05208253681110812,0.034112773157270404,Merkliste
zu merk+liste,395.99317461792253,0.021057543978721206,-0.11680896602842823,-0.17559913247220535,0.05208253681110812,0.034112773157270404,zu merk+liste
hinzufügen,431.9194279636855,0.02100176599104059,-0.11340503597941957,-0.1776020584754257,0.05143646362651412,0.033915451505222474,hinzufügen
merk+liste hinzu+füg+en,141.97586418356266,-0.010226772678162535,-0.10211928599082806,-0.10455143470399891,0.06919957681127648,0.020457842310272995,merk+liste hinzu+füg+en
hinzu+füg+en auch,3.4804293466739282,-0.544244445130599,-0.28339189772738793,-0.15152032536859222,0.3379288785853264,0.16481453252955203,hinzu+füg+en auch
Extremwetterereignis…,3.0147255307066603,-0.4005975749170907,-0.1397450275138795,-0.00787345515508379,0.22567143364002432,0.12795284981126506,Extremwetterereignis…
mehr extremwetterereignis…,3.0147255307066603,-0.4005975749170907,-0.1397450275138795,-0.00787345515508379,0.22567143364002432,0.12795284981126506,mehr extremwetterereignis…
+1354,2.935587410567523,-0.3739963566147953,-0.11314380921158415,0.018727763147211456,0.20256205643666159,0.11921293770332682,+1354
extremwetterereignis… +1354,2.935587410567523,-0.3739963566147953,-0.11314380921158415,0.018727763147211456,0.20256205643666159,0.11921293770332682,extremwetterereignis… +1354
+1354 char+s,2.9186535285488815,-0.36821117304486173,-0.10735862564165048,0.024512946717145104,0.19750260787733506,0.11714683292027578,+1354 char+s
Fliegen,2.968869846425936,-0.38527014078174654,-0.1244175933785354,0.0074539789802601005,0.1503906004796325,0.18334396615281148,Fliegen
Klimakurve,3.4240713695429905,-0.5279190854441789,-0.2670665380409678,-0.13519496568217226,0.23515538389954613,0.25391971732083013,Klimakurve
flieg+en klima+kurve,3.4240713695429905,-0.5279190854441789,-0.2670665380409678,-0.13519496568217226,0.23515538389954613,0.25391971732083013,flieg+en klima+kurve
klima+kurve experte+n,3.114928833734436,-0.4332950891385836,-0.17244254173537246,-0.04057096937657703,0.17283471655897004,0.21636211651147566,klima+kurve experte+n
Welt,17.638577272817383,0.009653920653840159,0.18131388400111134,-0.11191185777617624,-0.29614339643446874,0.15936184332428488,Welt
experte+n welt,3.0049999564191117,-0.3973663369577102,-0.1365137895544991,-0.00464221719570339,0.14250386184558206,0.20423949902474695,experte+n welt
2050,7.719842997388303,-1.3408828101773462,-1.0800302627741352,-0.9481586904153394,0.4248897224507689,0.5369266436004856,2050
welt 2050,2.951818871847917,-0.37951033055399575,-0.11865778315078468,0.013213789208011117,0.10849331456967877,0.2137123171311354,welt 2050
Grad,26.26274598698432,-1.137779022917235,-1.128275019561277,-1.1732425287795074,0.19337342336294977,0.6867114510603265,Grad
2050 grad,2.971711727128551,-0.38622690936886794,-0.12537436196565688,0.006497210393138721,0.09500941091534373,0.2324976273670612,2050 grad
erwärmen,2.9942345332173366,-0.393777400810716,-0.13292485340750482,-0.0010532810487092063,0.08707399284754765,0.2471898927321625,erwärmen
grad erwärm+en,2.9942345332173366,-0.393777400810716,-0.13292485340750482,-0.0010532810487092063,0.08707399284754765,0.2471898927321625,grad erwärm+en
Die,1441.471995400469,0.03639393624427794,-0.095745532814418,-0.1704270322681555,0.02129400047910766,0.03879257941313226,Die
erwärm+en der,3.070978201163653,-0.41908492662081,-0.15823237921759864,-0.026360806858803116,0.06599977800576914,0.2899891567031285,erwärm+en der
globale,7.89734864192628,-1.0110392558700694,-1.1027633242657549,-0.9708917519069594,0.19295542891558107,0.6524239096235123,globale
der global+e,4.000611416092673,-0.6835359869354038,-0.42268343953219284,-0.29081186717339724,0.10861733241407552,0.473192900560498,der global+e
schreitet,3.980130594652694,-0.678403414958159,-0.4175508675549479,-0.28567929519615226,0.17157128553818507,0.42613707453149946,schreitet
erwärmung schreit+et,3.980130594652694,-0.678403414958159,-0.4175508675549479,-0.28567929519615226,0.17157128553818507,0.42613707453149946,erwärmung schreit+et
schneller,3.8718544300202433,-0.6508223566283079,-0.3899698092250966,-0.25809823686630107,0.27529255764221255,0.3218358739879305,schneller
schreit+et schnell+er,3.8718544300202433,-0.6508223566283079,-0.3899698092250966,-0.25809823686630107,0.27529255764221255,0.3218358739879305,schreit+et schnell+er
voran,4.032020939404889,-0.6913565075336973,-0.4305039601304861,-0.29863238777169054,0.4237834486534507,0.201130133664469,voran
schnell+er voran,4.032020939404889,-0.6913565075336973,-0.4305039601304861,-0.29863238777169054,0.4237834486534507,0.201130133664469,schnell+er voran
zuvor,67.32933816548805,-0.1060666000882941,-0.0729500720526618,-0.06614827275936237,0.13404809690251024,0.01363361614472397,zuvor
voran zuvor,3.70024359724165,-0.6054874380486812,-0.34463489064547004,-0.21276331828667439,0.3448471192176032,0.21551561607549585,voran zuvor
warnen,136.8916856333648,-0.03328241143784634,-0.13783334491019816,-0.08761129535077494,0.17875704765951891,-0.06748458861991127,warnen
zuvor warn+en,3.554331530736901,-0.5652557926865542,-0.30440324528334295,-0.1725316729245474,0.2997882316550965,0.22590219324283412,zuvor warn+en
warn+en experte+n,10.179296460495532,-0.2021514043528938,-0.15188840116820537,0.05149732338879212,0.2103717142781083,0.0011515651213324144,warn+en experte+n
Hamburg,24.466342583400678,-0.12125075950635612,-0.2839979210470946,-0.40375923741887715,-0.010838538747416733,0.2959415952450423,Hamburg
experte+n hamburg,3.3374076006902715,-0.5022831216300215,-0.2414305742268104,-0.10955900186801465,0.2390380253225787,0.22560452993371058,experte+n hamburg
Wetterextreme,3.271807205014022,-0.48243127780484657,-0.22157873040163548,-0.08970715804283962,0.22239361740786504,0.22159959159110734,Wetterextreme
wetter+extrem+e hitze+welle+n,3.172990721689372,-0.45176337192557314,-0.19091082452236222,-0.059039252163566466,0.19865306257842316,0.2122358780600229,wetter+extrem+e hitze+welle+n
nehmen,17.526291148775552,-0.1625767249910598,-0.09104122623983867,0.11631216136668031,0.017578574862952084,0.11854271472546025,nehmen
sturm+flut+en nehm+en,3.073550329247386,-0.4199221359270214,-0.15906958852381003,-0.027198016165014573,0.1720505303513995,0.2025929695586717,sturm+flut+en nehm+en
spürbar,3.0692340609713655,-0.418516822403973,-0.15766427500076183,-0.02579270264196604,0.16182247688943557,0.21034813098219132,spürbar
nehm+en spür+bar,3.0692340609713655,-0.418516822403973,-0.15766427500076183,-0.02579270264196604,0.16182247688943557,0.21034813098219132,nehm+en spür+bar
Besonders,37.46403072828103,-0.06054607474396094,-0.1478503591967706,-0.035086587765212784,0.18331695464238976,-0.05965456856592103,Besonders
alarmierend,2.984066476691223,-0.39037574327823665,-0.12952319587502534,0.002348376483770324,0.13306079836547116,0.20472717498511042,alarmierend
besonders alarmier+end,2.984066476691223,-0.39037574327823665,-0.12952319587502534,0.002348376483770324,0.13306079836547116,0.20472717498511042,besonders alarmier+end
alarmier+end der,2.9870058602964216,-0.39136028463923295,-0.1305077372360218,0.0013638351227738149,0.12883152011907764,0.20953922651147436,alarmier+end der
Nordsee,2.989389980019329,-0.3921581300005771,-0.13130558259736594,0.0005659897614294913,0.1277682702088518,0.2113588486431441,Nordsee
der nordsee,2.989389980019329,-0.3921581300005771,-0.13130558259736594,0.0005659897614294913,0.1277682702088518,0.2113588486431441,der nordsee
2025,16.804324428687856,-0.1810063435838204,-0.16785554551433532,0.010917227396698783,0.2303952041335157,-0.01888446776927403,2025
nordsee 2025,3.0007122106786794,-0.39593844752523455,-0.13508590012202357,-0.00321432776322775,0.12451654102440526,0.21837848332634152,nordsee 2025
warm,10.660611345596013,-0.335356643382608,-0.2760468489840407,-0.17115820447529917,0.1074713015534923,0.28350460282358886,warm
2025 warm,2.6948665141397203,-0.2884374556761362,-0.027584908272925073,0.10428666408587059,0.0512132389267881,0.15138635198266404,2025 warm
nie,14.822028770511118,-0.0011122335579377592,0.09852327577735176,0.003977370572923445,0.018998966392708105,-0.07026091936826812,nie
warm nie,2.7207955704724336,-0.2980131101589032,-0.03716056275569197,0.09471100960310364,0.049626362814755236,0.16520577439956208,warm nie
seit,203.04502293594638,-0.028066135256691726,-0.1603095977843554,-0.1153899622897497,0.09958158891412304,0.03291550477153703,seit
nie seit,2.7347745491965942,-0.30313778421160176,-0.042285236808390754,0.08958633555040499,0.04858471441643625,0.17263549086329336,nie seit
Beginn,23.097952867228507,-0.11378410234748892,-0.16189894172283079,0.09247547574700929,0.18343854593843525,-0.050502335563930745,Beginn
seit beginn,3.3172292328619557,-0.4962186495405532,-0.23536610213734208,-0.1034945297785464,0.17254354066790473,0.2797331133718681,seit beginn
Messungen,2.816731793309347,-0.3326660577919723,-0.07181351038876108,0.0600580619700346,0.0397656341130058,0.2160045237891939,Messungen
beginn messung+en,2.816731793309347,-0.3326660577919723,-0.07181351038876108,0.0600580619700346,0.0397656341130058,0.2160045237891939,beginn messung+en
+3874,2.5124198536832765,-0.2183351573182084,0.04251739008500279,0.1743889624437984,0.04508755979572063,0.056547706522532264,+3874
2025 +3874,2.5124198536832765,-0.2183351573182084,0.04251739008500279,0.1743889624437984,0.04508755979572063,0.056547706522532264,2025 +3874
+3874 chars,2.5080766112493738,-0.21660495252761167,0.04424759487559941,0.17611916723439516,0.04373241522544794,0.05512070338492584,+3874 chars
Klimaexperten,3.487378317479008,-0.5462390389666626,-0.2853864915634513,-0.15351491920465582,0.27144113410842063,0.23648389026120867,Klimaexperten
Erderwärmung,5.893578732224029,-0.8256622835528472,-0.810099643827846,-0.6782280714690503,0.2762517146915662,0.5036909652593465,Erderwärmung
klima+experte+n erderwärmung,3.1516014893690594,-0.44499951643815105,-0.18414696903494013,-0.05227539667614457,0.2122576969527357,0.19211413755055154,klima+experte+n erderwärmung
drei,528.6794533913885,0.02976193481212649,-0.09646061277024841,-0.12446784521674602,0.061542304532132296,-0.0063102040774688254,drei
erderwärmung drei,3.0391507344138913,-0.4086668961825184,-0.14781434877930716,-0.015942776420511583,0.18101458025208172,0.18169478754470073,erderwärmung drei
drei grad,7.060350874211252,-1.2515835326403102,-0.990730985237099,-0.8588594128783036,0.39331912414700887,0.5339590178598769,drei grad
Celsius,5.198397023589418,-0.9454390968430423,-0.6845865494398311,-0.5527149770810353,0.3816385670512016,0.4136422105638596,Celsius
grad celsius,5.198397023589418,-0.9454390968430423,-0.6845865494398311,-0.5527149770810353,0.3816385670512016,0.4136422105638596,grad celsius
celsius 2050,3.0476526401216733,-0.4114604515887559,-0.15060790418554487,-0.018736331826749254,0.15517198756725809,0.20859022917611778,celsius 2050
möglich,3.0708259602179764,-0.4190353513032948,-0.15818280390008363,-0.02631123154128806,0.14814323104349897,0.2230660636234676,möglich
